Tên,Giá,Thay đổi 24h,Vốn hoá thị trường,Thao tác
CRVCurve DAO Token,"$0,42720","-1,48%","$551,74 Tr",Giao dịch|Chuyển đổi
MANADecentraland,"$0,28320","-0,81%","$529,02 Tr",Giao dịch|Chuyển đổi
STRKStarknet,"$0,19010","+4,97%","$521,54 Tr",Giao dịch|Chuyển đổi
CFXConflux Token,"$0,10040","+0,50%","$494,95 Tr",Giao dịch|Chuyển đổi
DYDXdYdX,"$0,65380","+3,06%","$486,46 Tr",Giao dịch|Chuyển đổi
ARArweave,"$7,3510","-1,05%","$481,15 Tr",Giao dịch|Chuyển đổi
CORECore,"$0,47240","-1,09%","$470,63 Tr",Giao dịch|Chuyển đổi
CHZChiliz,"$0,049260","+2,50%","$465,35 Tr",Giao dịch|Chuyển đổi
APEApeCoin,"$0,58020","+4,59%","$463,84 Tr",Giao dịch|Chuyển đổi
COMPCompound,"$49,4000","-3,11%","$438,24 Tr",Giao dịch|Chuyển đổi
NFTAPENFT,"$0,00000043940","+1,70%","$435,05 Tr",Giao dịch|Chuyển đổi
PENDLEPendle,"$2,4660","+0,01%","$408,63 Tr",Giao dịch|Chuyển đổi
KAITOKaito,"$1,6652","-6,72%","$401,96 Tr",Giao dịch|Chuyển đổi
PENGUPudgy Penguins,"$0,0063700","-1,52%","$400,42 Tr",Giao dịch|Chuyển đổi
MORPHOMorpho,"$1,6513","-5,36%","$389,51 Tr",Giao dịch|Chuyển đổi
RSRReserve Rights,"$0,0066400","+0,64%","$370,03 Tr",Giao dịch|Chuyển đổi
MINAMina Protocol,"$0,29600","+1,69%","$360,71 Tr",Giao dịch|Chuyển đổi
LUNCTerra Luna Classic,"$0,000064850","+0,99%","$354,05 Tr",Giao dịch|Chuyển đổi
EIGENEigen,"$1,4170","-2,20%","$346,45 Tr",Giao dịch|Chuyển đổi
1INCH1inch,"$0,23460","+1,65%","$322,81 Tr",Giao dịch|Chuyển đổi
FARTCOINFartcoin,$0,--,"$318,58 Tr",Giao dịch|Chuyển đổi
JSTJUST,"$0,032180","-1,19%","$318,58 Tr",Giao dịch|Chuyển đổi
AI16ZElizaOS,$0,--,"$315,38 Tr",Giao dịch|Chuyển đổi
ZKZKsync,"$0,085540","+1,70%","$314,36 Tr",Giao dịch|Chuyển đổi
WWormhole,"$0,10750","-1,55%","$310,86 Tr",Giao dịch|Chuyển đổi
SNXSynthetix,"$0,90830","-3,03%","$308,34 Tr",Giao dịch|Chuyển đổi
GLMGOLEM,"$0,30490","-1,70%","$304,90 Tr",Giao dịch|Chuyển đổi
CTCCreditcoin,"$0,70270","+2,62%","$301,75 Tr",Giao dịch|Chuyển đổi
KSMKusama,"$18,3700","+1,56%","$297,50 Tr",Giao dịch|Chuyển đổi
NOTNotcoin,"$0,0026890","+5,25%","$275,51 Tr",Giao dịch|Chuyển đổi
SAFESafe,"$0,47700","+0,18%","$264,08 Tr",Giao dịch|Chuyển đổi
BLURBlur,"$0,11820","-0,16%","$264,04 Tr",Giao dịch|Chuyển đổi
SATSSATS,"$0,00000012410","+0,17%","$260,61 Tr",Giao dịch|Chuyển đổi
ASTRAstar Network,"$0,033850","-0,58%","$257,60 Tr",Giao dịch|Chuyển đổi
ZILZilliqa,"$0,012950","+1,50%","$253,98 Tr",Giao dịch|Chuyển đổi
QTUMQtum,"$2,3290","-0,12%","$245,82 Tr",Giao dịch|Chuyển đổi
ZROLayerZero,"$2,2050","+0,14%","$245,09 Tr",Giao dịch|Chuyển đổi
BATBasic Attention Token,"$0,16150","+2,42%","$241,55 Tr",Giao dịch|Chuyển đổi
LPTLivepeer,"$6,1720","-0,20%","$238,39 Tr",Giao dịch|Chuyển đổi
XCHChia,"$16,4400","-2,13%","$235,48 Tr",Giao dịch|Chuyển đổi
ZRX0x,"$0,27570","+0,01%","$233,90 Tr",Giao dịch|Chuyển đổi
ATHAethir,"$0,034280","-5,03%","$229,60 Tr",Giao dịch|Chuyển đổi
ORDIOrdinal,"$10,5540","+0,40%","$221,63 Tr",Giao dịch|Chuyển đổi
MASKMask Network,"$2,1950","-0,40%","$219,50 Tr",Giao dịch|Chuyển đổi
ARKMArkham,"$0,57920","+5,24%","$214,13 Tr",Giao dịch|Chuyển đổi
CELOCelo,"$0,37680","+0,06%","$212,99 Tr",Giao dịch|Chuyển đổi
BABYDOGEBaby Doge Coin,"$0,0000000012860","+0,56%","$212,79 Tr",Giao dịch|Chuyển đổi
GASGAS,"$3,1880","+0,48%","$207,52 Tr",Giao dịch|Chuyển đổi
ETHFIether.fi,"$0,85000","+1,25%","$196,92 Tr",Giao dịch|Chuyển đổi
PNUTPeanut the Squirrel,"$0,19680","-0,14%","$196,77 Tr",Giao dịch|Chuyển đổi
SCSiacoin,"$0,0034600","+1,12%","$193,85 Tr",Giao dịch|Chuyển đổi
MEWcat in a dogs world,"$0,0021520","+2,15%","$191,29 Tr",Giao dịch|Chuyển đổi
DOGDOG•GO•TO•THE•MOON,$0,--,"$191,23 Tr",Giao dịch|Chuyển đổi
RVNRavencoin,"$0,012780","+0,09%","$190,36 Tr",Giao dịch|Chuyển đổi
LAYERSolayer,$0,--,"$188,73 Tr",Giao dịch|Chuyển đổi
TURBOTurbo,"$0,0027340","+3,14%","$188,65 Tr",Giao dịch|Chuyển đổi
WOOWOO Network,"$0,10070","+2,87%","$187,54 Tr",Giao dịch|Chuyển đổi
ENJEnjin Coin,"$0,10290","+0,79%","$186,66 Tr",Giao dịch|Chuyển đổi
ZETAZetaChain,"$0,25280","-0,38%","$184,96 Tr",Giao dịch|Chuyển đổi
ACTAct I: The AI Prophecy,"$0,19440","-1,11%","$184,34 Tr",Giao dịch|Chuyển đổi
YFIYearn.finance,"$5.445,00","+1,29%","$183,79 Tr",Giao dịch|Chuyển đổi
ELFaelf,"$0,24660","+0,50%","$182,27 Tr",Giao dịch|Chuyển đổi
ETHWEthereumPoW,"$1,6880","+0,85%","$182,00 Tr",Giao dịch|Chuyển đổi
TThreshold Network Token,"$0,017680","+0,58%","$179,03 Tr",Giao dịch|Chuyển đổi
CVXConvex Finance,"$2,1710","-1,93%","$178,00 Tr",Giao dịch|Chuyển đổi
UXLINKUXLINK,"$0,52210","-0,33%","$176,57 Tr",Giao dịch|Chuyển đổi
BIOBIO,"$0,10700","+5,95%","$173,18 Tr",Giao dịch|Chuyển đổi
SKLSKALE,"$0,029190","+2,18%","$168,60 Tr",Giao dịch|Chuyển đổi
XNONano,"$1,2590","+2,70%","$167,76 Tr",Giao dịch|Chuyển đổi
ONEHarmony,"$0,013630","+4,22%","$167,72 Tr",Giao dịch|Chuyển đổi
GMXGMX,"$16,1000","+1,78%","$161,04 Tr",Giao dịch|Chuyển đổi
KDAKadena,"$0,49550","-0,07%","$152,95 Tr",Giao dịch|Chuyển đổi
MEMagic Eden,"$1,1620","+0,53%","$151,97 Tr",Giao dịch|Chuyển đổi
CSPRCasper Network,"$0,011688","+0,74%","$150,70 Tr",Giao dịch|Chuyển đổi
DGBDigiByte,"$0,0085100","+2,44%","$149,50 Tr",Giao dịch|Chuyển đổi
ARCAI Rig Complex,$0,--,"$146,40 Tr",Giao dịch|Chuyển đổi
LUNATerra,"$0,21020","+0,54%","$144,55 Tr",Giao dịch|Chuyển đổi
ONTOntology,"$0,15820","+0,71%","$144,39 Tr",Giao dịch|Chuyển đổi
GMTSTEPN,"$0,052280","+1,37%","$141,06 Tr",Giao dịch|Chuyển đổi
LRCLoopring,"$0,11230","+0,28%","$139,92 Tr",Giao dịch|Chuyển đổi
BANDBand Protocol,"$0,89310","+1,31%","$139,27 Tr",Giao dịch|Chuyển đổi
HMSTRHamster Kombat,"$0,0021420","+0,67%","$137,89 Tr",Giao dịch|Chuyển đổi
SUSHISushiSwap,"$0,71260","-0,67%","$137,38 Tr",Giao dịch|Chuyển đổi
FXSFrax Share,"$1,5320","-0,19%","$135,24 Tr",Giao dịch|Chuyển đổi
SWFTCSwftCoin,"$0,013401","-6,19%","$134,01 Tr",Giao dịch|Chuyển đổi
NEIRONeiro,"$0,00030980","-0,47%","$130,33 Tr",Giao dịch|Chuyển đổi
RPLRocket Pool,"$6,0150","+1,53%","$127,19 Tr",Giao dịch|Chuyển đổi
METISMetis Token,"$20,3700","+1,61%","$126,61 Tr",Giao dịch|Chuyển đổi
AIXBTaixbt by Virtuals,"$0,14740","-5,14%","$126,12 Tr",Giao dịch|Chuyển đổi
BICOBiconomy,"$0,13500","+0,01%","$126,07 Tr",Giao dịch|Chuyển đổi
ACHAlchemy Pay,"$0,025450","-2,82%","$125,82 Tr",Giao dịch|Chuyển đổi
EURCEURC,$0,--,"$125,46 Tr",Giao dịch|Chuyển đổi
GGravity,"$0,017110","+1,61%","$123,75 Tr",Giao dịch|Chuyển đổi
ZKJPolyhedra Network,"$2,0433","-1,65%","$123,38 Tr",Giao dịch|Chuyển đổi
MEMEMemecoin,"$0,0029960","-0,39%","$121,94 Tr",Giao dịch|Chuyển đổi
AEVOAevo,"$0,13380","+0,54%","$120,84 Tr",Giao dịch|Chuyển đổi
ZEUSZeus Network,"$0,31450","+4,81%","$120,38 Tr",Giao dịch|Chuyển đổi
ILVIlluvium,"$16,1900","+0,88%","$120,22 Tr",Giao dịch|Chuyển đổi
VENOMVenom,"$0,059620","-0,71%","$119,05 Tr",Giao dịch|Chuyển đổi
ICXICON,"$0,11200","+2,11%","$117,87 Tr",Giao dịch|Chuyển đổi
UMAUMA,"$1,3540","+1,66%","$115,73 Tr",Giao dịch|Chuyển đổi
AGLDAdventure Gold,"$1,2319","-3,31%","$114,33 Tr",Giao dịch|Chuyển đổi
BOMEBOOK OF MEME,"$0,0016470","+1,18%","$113,64 Tr",Giao dịch|Chuyển đổi
ANIMEAnimecoin,"$0,019890","-1,23%","$110,16 Tr",Giao dịch|Chuyển đổi
TNSRTensor,"$0,41890","-1,19%","$109,20 Tr",Giao dịch|Chuyển đổi
ZBCNZebec Network,"$0,0014630","+7,54%","$108,41 Tr",Giao dịch|Chuyển đổi
SNTStatus,"$0,027350","-0,17%","$108,32 Tr",Giao dịch|Chuyển đổi
VELOVelo,"$0,014632","-6,29%","$108,14 Tr",Giao dịch|Chuyển đổi
IDSPACE ID,"$0,24340","+1,47%","$104,79 Tr",Giao dịch|Chuyển đổi
BALBalancer,"$1,6770","+2,70%","$104,51 Tr",Giao dịch|Chuyển đổi
OKTToken OKTC,"$5,8300","-0,59%","$104,05 Tr",Giao dịch|Chuyển đổi
LSKLisk,"$0,61190","+1,67%","$103,10 Tr",Giao dịch|Chuyển đổi
PHAPhala Network,"$0,13110","+0,78%","$102,66 Tr",Giao dịch|Chuyển đổi
GLMRMoonbeam,"$0,10550","+2,84%","$100,43 Tr",Giao dịch|Chuyển đổi
BORABORA,"$0,086600","+0,90%","$99,83 Tr",Giao dịch|Chuyển đổi
IQEveripedia,"$0,0047600","+1,07%","$99,44 Tr",Giao dịch|Chuyển đổi
GPSGoPlus Security,$0,--,"$98,66 Tr",Giao dịch|Chuyển đổi
BIGTIMEBig Time,"$0,055740","+1,08%","$96,79 Tr",Giao dịch|Chuyển đổi
WAXPWAX,"$0,027500","+2,43%","$96,36 Tr",Giao dịch|Chuyển đổi
ORBSOrbs,"$0,020910","+0,93%","$95,14 Tr",Giao dịch|Chuyển đổi
SONICSonic SVM,"$0,26256","-1,28%","$94,52 Tr",Giao dịch|Chuyển đổi
IOSTIOST,"$0,0044130","+2,04%","$94,06 Tr",Giao dịch|Chuyển đổi
PEOPLEConstitutionDAO,"$0,018150","+0,79%","$91,96 Tr",Giao dịch|Chuyển đổi
ZENTZentry,"$0,013610","+2,50%","$89,94 Tr",Giao dịch|Chuyển đổi
YGGYield Guild Games,"$0,21590","-1,27%","$88,62 Tr",Giao dịch|Chuyển đổi
SHELLMyShell,$0,--,"$88,23 Tr",Giao dịch|Chuyển đổi
SCRScroll,"$0,44910","-2,21%","$85,33 Tr",Giao dịch|Chuyển đổi
CVCCivic,"$0,10552","+0,12%","$84,63 Tr",Giao dịch|Chuyển đổi
ELONDogelon Mars,"$0,00000015340","+0,21%","$84,32 Tr",Giao dịch|Chuyển đổi
TRBTellor,"$31,1500","-0,28%","$82,67 Tr",Giao dịch|Chuyển đổi
SLPSmooth Love Potion,"$0,0019510","+1,62%","$80,32 Tr",Giao dịch|Chuyển đổi
AUCTIONBounce,"$12,1770","+4,35%","$80,25 Tr",Giao dịch|Chuyển đổi
JOEJOE,"$0,20540","+3,91%","$79,12 Tr",Giao dịch|Chuyển đổi
LQTYLiquity,"$0,81110","+5,94%","$78,83 Tr",Giao dịch|Chuyển đổi
API3API3,"$0,66400","+0,54%","$78,56 Tr",Giao dịch|Chuyển đổi
OASOasys,"$0,020360","+0,21%","$77,72 Tr",Giao dịch|Chuyển đổi
DOGSDOGS,"$0,00015020","-1,82%","$77,62 Tr",Giao dịch|Chuyển đổi
CETUSToken Cetus,"$0,11221","+13,26%","$74,54 Tr",Giao dịch|Chuyển đổi
CFGCentrifuge,"$0,14500","-2,02%","$74,24 Tr",Giao dịch|Chuyển đổi
OMIECOMI,"$0,00027310","-1,54%","$74,00 Tr",Giao dịch|Chuyển đổi
NMRNumeraire,"$9,0900","+2,38%","$72,36 Tr",Giao dịch|Chuyển đổi
GOATGoatseus Maximus,"$0,071080","-1,87%","$71,08 Tr",Giao dịch|Chuyển đổi
USTCTerraClassicUSD,"$0,012730","-1,15%","$70,71 Tr",Giao dịch|Chuyển đổi
GRIFFAINGRIFFAIN,$0,--,"$68,79 Tr",Giao dịch|Chuyển đổi
DEGENDegen,"$0,0038500","-2,60%","$68,26 Tr",Giao dịch|Chuyển đổi
SSVSSV Network,"$9,4700","+1,29%","$67,10 Tr",Giao dịch|Chuyển đổi
COOKIECookie DAO,$0,--,"$66,81 Tr",Giao dịch|Chuyển đổi
CELRCeler Network,"$0,011660","+7,28%","$65,83 Tr",Giao dịch|Chuyển đổi
BONEBone ShibaSwap,"$0,25490","+0,68%","$63,70 Tr",Giao dịch|Chuyển đổi
KNCKyber Network,"$0,37230","+1,98%","$63,35 Tr",Giao dịch|Chuyển đổi
MOVRMoonriver,"$6,6550","+0,43%","$63,19 Tr",Giao dịch|Chuyển đổi
WINWINkLink,"$0,000062400","-0,80%","$62,01 Tr",Giao dịch|Chuyển đổi
SOLVSolv Protocol,$0,--,"$61,32 Tr",Giao dịch|Chuyển đổi
BADGERBadger DAO,"$2,9730","-7,49%","$59,25 Tr",Giao dịch|Chuyển đổi
ALCHAlchemist AI,$0,--,"$55,88 Tr",Giao dịch|Chuyển đổi
DIADecentralised Information Asset,"$0,46360","+3,98%","$55,48 Tr",Giao dịch|Chuyển đổi
BNTBancor,"$0,46810","+3,87%","$55,24 Tr",Giao dịch|Chuyển đổi
CATSimons Cat,"$0,0000081680","-0,43%","$55,13 Tr",Giao dịch|Chuyển đổi
MAGICMagic,"$0,17520","+0,87%","$54,73 Tr",Giao dịch|Chuyển đổi
VELODROMEVelodrome Finance,"$0,057400","-3,93%","$51,89 Tr",Giao dịch|Chuyển đổi
SWARMSSwarms,$0,--,"$51,70 Tr",Giao dịch|Chuyển đổi
AVAAIAva AI,$0,--,"$50,47 Tr",Giao dịch|Chuyển đổi
BANANABanana Gun,"$14,3700","-0,55%","$50,11 Tr",Giao dịch|Chuyển đổi
ACAAcala,"$0,041530","-1,72%","$48,45 Tr",Giao dịch|Chuyển đổi
OXTOrchid,"$0,080910","-1,20%","$47,86 Tr",Giao dịch|Chuyển đổi
SWEATSweat Economy,"$0,0061430","-2,86%","$46,75 Tr",Giao dịch|Chuyển đổi
DAODAO Maker,"$0,17960","-0,16%","$45,07 Tr",Giao dịch|Chuyển đổi
STORJSTORJ,"$0,30850","+3,11%","$44,36 Tr",Giao dịch|Chuyển đổi
MOODENGMoo Deng,"$0,044770","-2,31%","$44,32 Tr",Giao dịch|Chuyển đổi
PRQPARSIQ,"$0,15119","-7,20%","$44,26 Tr",Giao dịch|Chuyển đổi
ERNEthernity Chain,"$1,8170","+4,49%","$43,11 Tr",Giao dịch|Chuyển đổi
CXTCovalent,"$0,046870","-5,31%","$42,56 Tr",Giao dịch|Chuyển đổi
MERLMerlin Chain,"$0,084610","+1,59%","$41,25 Tr",Giao dịch|Chuyển đổi
RACARadio Caca,"$0,00010000","+0,21%","$41,07 Tr",Giao dịch|Chuyển đổi
ZEREBROZerebro,$0,--,"$40,26 Tr",Giao dịch|Chuyển đổi
GODSGods Unchained,"$0,11340","+4,33%","$39,61 Tr",Giao dịch|Chuyển đổi
ACEFusionist,"$0,79180","+2,17%","$38,91 Tr",Giao dịch|Chuyển đổi
SDStader,"$0,70390","+10,91%","$38,85 Tr",Giao dịch|Chuyển đổi
ALPHAAlpha Venture DAO,"$0,041260","+2,59%","$38,04 Tr",Giao dịch|Chuyển đổi
CLVClover Finance,"$0,031000","-2,48%","$37,95 Tr",Giao dịch|Chuyển đổi
PIXELPixels,"$0,047430","+1,87%","$36,57 Tr",Giao dịch|Chuyển đổi
PRCLParcl,"$0,12980","+1,73%","$36,44 Tr",Giao dịch|Chuyển đổi
RSS3RSS3,"$0,049240","-0,76%","$35,44 Tr",Giao dịch|Chuyển đổi
LATPlatON,"$0,0055400","+0,28%","$35,30 Tr",Giao dịch|Chuyển đổi
VINEVine Coin,"$0,034760","+0,01%","$34,76 Tr",Giao dịch|Chuyển đổi
CTXCCortex,"$0,15170","-0,26%","$34,57 Tr",Giao dịch|Chuyển đổi
JJambo,"$0,26570","-6,21%","$34,54 Tr",Giao dịch|Chuyển đổi
AERGOAERGO,"$0,072690","+1,22%","$34,35 Tr",Giao dịch|Chuyển đổi
RDNTRadiant Capital,"$0,028250","+2,03%","$33,99 Tr",Giao dịch|Chuyển đổi
SLERFSLERF,"$0,067370","+1,70%","$33,68 Tr",Giao dịch|Chuyển đổi
DEPDEAPCoin,"$0,0012200","-0,48%","$33,58 Tr",Giao dịch|Chuyển đổi
FORTHAmpleforth Governance,"$3,0230","+2,80%","$32,81 Tr",Giao dịch|Chuyển đổi
GEARGearbox,"$0,0032190","+1,98%","$32,19 Tr",Giao dịch|Chuyển đổi
CATICatizen,"$0,15030","-0,32%","$30,96 Tr",Giao dịch|Chuyển đổi
MLNEnzyme,"$10,2400","-1,43%","$30,73 Tr",Giao dịch|Chuyển đổi
PERPPerpetual Protocol,"$0,40380","+2,11%","$29,32 Tr",Giao dịch|Chuyển đổi
DORADora Factory,"$0,029000","+2,41%","$29,00 Tr",Giao dịch|Chuyển đổi
ICEIce Open Network,"$0,0042040","+6,20%","$28,56 Tr",Giao dịch|Chuyển đổi
PUFFERPUFFER,$0,--,"$28,38 Tr",Giao dịch|Chuyển đổi
ALCXAlchemix,"$11,7800","+9,59%","$28,24 Tr",Giao dịch|Chuyển đổi
PIPPINPippin,$0,--,"$24,26 Tr",Giao dịch|Chuyển đổi
GHSTAavegotchi,"$0,45250","+0,68%","$23,15 Tr",Giao dịch|Chuyển đổi
FLMFlamingo,"$0,035430","+4,25%","$22,99 Tr",Giao dịch|Chuyển đổi
SWELLSwell Network,$0,--,"$22,57 Tr",Giao dịch|Chuyển đổi
OLOPENLOOT,"$0,067818","-0,96%","$22,40 Tr",Giao dịch|Chuyển đổi
BZZSwarm,"$0,35000","+0,93%","$22,10 Tr",Giao dịch|Chuyển đổi
KISHUKishu Inu,"$0,00000000021000","+1,46%","$20,30 Tr",Giao dịch|Chuyển đổi
KEKIUSKekius,$0,--,"$19,35 Tr",Giao dịch|Chuyển đổi
DUCKDuckchain,"$0,0031330","-0,78%","$18,48 Tr",Giao dịch|Chuyển đổi
AIDOGEArbDoge AI,"$0,000000000098200","+0,22%","$18,46 Tr",Giao dịch|Chuyển đổi
VRAVerasity,"$0,0018320","-1,97%","$17,95 Tr",Giao dịch|Chuyển đổi
NULSNULS,"$0,15190","-4,27%","$16,97 Tr",Giao dịch|Chuyển đổi
MDTMeasurable Data Token,"$0,027980","+2,80%","$16,96 Tr",Giao dịch|Chuyển đổi
RIORealio Network,"$0,24600","-1,11%","$16,10 Tr",Giao dịch|Chuyển đổi
LOOKSLooksRare,"$0,016030","+1,47%","$15,93 Tr",Giao dịch|Chuyển đổi
SAMOSamoyedcoin,"$0,0032760","+2,32%","$15,55 Tr",Giao dịch|Chuyển đổi
